wl,Irradiance
300,0.000332835
301,0.000373002
302,0.000192716
303,0.000539949
304,0.000472494
305,0.000441636
306,0.000900105
307,0.000910761
308,0.000939812
309,0.001209791
310,0.001146913
311,0.001214597
312,0.001185452
313,0.00109582
314,0.001326387
315,0.001400353
316,0.001763089
317,0.002161301
318,0.002386223
319,0.002884623
320,0.003324835
321,0.003787015
322,0.004307104
323,0.004954973
324,0.005572095
325,0.006809279
326,0.008129196
327,0.009166591
328,0.010950486
329,0.012283554
330,0.012936381
331,0.014032407
332,0.014495816
333,0.014703409
334,0.015968822
335,0.016472176
336,0.016342839
337,0.016649108
338,0.016983645
339,0.01796944
340,0.01948386
341,0.02078568
342,0.021471871
343,0.021102961
344,0.020856084
345,0.020924585
346,0.020944708
347,0.021720241
348,0.022364029
349,0.023011918
350,0.023868239
351,0.024214313
352,0.024787698
353,0.025555881
354,0.026175942
355,0.026590029
356,0.026022841
357,0.024433036
358,0.023298267
359,0.023628921
360,0.024249609
361,0.025401326
362,0.026391043
363,0.026766259
364,0.027790817
365,0.02972301
366,0.031252454
367,0.032143856
368,0.032860736
369,0.033001749
370,0.032713617
371,0.032391509
372,0.031242775
373,0.029410397
374,0.028178517
375,0.028164762
376,0.029543048
377,0.032225863
378,0.034052847
379,0.03448838
380,0.03456321
381,0.032203823
382,0.029117347
383,0.027191202
384,0.026144637
385,0.026545188
386,0.028361052
387,0.02963543
388,0.030307179
389,0.032148023
390,0.034035121
391,0.035446246
392,0.033756685
393,0.031008589
394,0.030404761
395,0.029724016
396,0.030368632
397,0.033379285
398,0.0363811
399,0.040649379
400,0.046632859
401,0.050820412
402,0.052419064
403,0.052946085
404,0.052901562
405,0.051830152
406,0.051246839
407,0.05117689
408,0.051696646
409,0.051847472
410,0.052383276
411,0.053388282
412,0.053783467
413,0.055089025
414,0.055823575
415,0.055972369
416,0.056184206
417,0.056010316
418,0.055478477
419,0.055148261
420,0.055191079
421,0.055198598
422,0.055063876
423,0.054828909
424,0.054133928
425,0.053758139
426,0.053729063
427,0.053114078
428,0.052225626
429,0.049836117
430,0.047221066
431,0.047335773
432,0.048554749
433,0.050849009
434,0.053744178
435,0.055159929
436,0.056499585
437,0.057070792
438,0.057060638
439,0.056553246
440,0.056260442
441,0.057958268
442,0.060156999
443,0.061705391
444,0.062671657
445,0.062135611
446,0.061980657
447,0.062606832
448,0.063050994
449,0.064592351
450,0.0659827
451,0.066448904
452,0.066070442
453,0.065711981
454,0.064671984
455,0.064627702
456,0.065711707
457,0.065680481
458,0.065512517
459,0.064689601
460,0.063644706
461,0.063390374
462,0.063691041
463,0.063607859
464,0.063526765
465,0.063647814
466,0.063030526
467,0.062897595
468,0.062824541
469,0.062092805
470,0.061725804
471,0.061921022
472,0.061687663
473,0.061904317
474,0.062095846
475,0.061515267
476,0.060905697
477,0.060425562
478,0.060107924
479,0.059658468
480,0.059274254
481,0.058935165
482,0.058478639
483,0.058151592
484,0.057666327
485,0.055719217
486,0.053957338
487,0.053214479
488,0.052943421
489,0.054468233
490,0.055820323
491,0.055864114
492,0.055951335
493,0.055665131
494,0.055629686
495,0.055806714
496,0.055917878
497,0.055548288
498,0.054651788
499,0.053733931
500,0.052136695
501,0.050462813
502,0.049083738
503,0.047770089
504,0.047079361
505,0.047017376
506,0.046956589
507,0.047035644
508,0.047237693
509,0.047324928
510,0.047443495
511,0.047887672
512,0.047766036
513,0.04731708
514,0.046840674
515,0.046026155
516,0.044581832
517,0.043271357
518,0.042018442
519,0.041504332
520,0.04217935
521,0.042921894
522,0.043263807
523,0.043225698
524,0.042918061
525,0.042195088
526,0.040904992
527,0.039598113
528,0.038680341
529,0.038208018
530,0.038514084
531,0.038409851
532,0.037670678
533,0.037031525
534,0.036495882
535,0.036569983
536,0.03680246
537,0.037064299
538,0.037065288
539,0.036607968
540,0.036099897
541,0.035557734
542,0.035048923
543,0.034734798
544,0.034564803
545,0.0343525
546,0.034148933
547,0.033811253
548,0.033573761
549,0.033378427
550,0.033175228
551,0.033193107
552,0.033042798
553,0.032826101
554,0.032694697
555,0.032391438
556,0.032016019
557,0.03147651
558,0.030661711
559,0.029872337
560,0.029311628
561,0.02877634
562,0.028383388
563,0.027977416
564,0.027385597
565,0.026812719
566,0.026344431
567,0.025909464
568,0.025504367
569,0.025168336
570,0.024530971
571,0.023947451
572,0.023568651
573,0.023340804
574,0.023253725
575,0.023049707
576,0.022838128
577,0.022692189
578,0.022633802
579,0.022913361
580,0.023357318
581,0.023994932
582,0.024866847
583,0.025691556
584,0.026406889
585,0.026663937
586,0.026768223
587,0.026712794
588,0.026464091
589,0.026028012
590,0.02561926
591,0.025293228
592,0.025305814
593,0.025403306
594,0.025214722
595,0.025028504
596,0.024695611
597,0.024306858
598,0.023958548
599,0.023522975
600,0.023153139
601,0.022898736
602,0.022742365
603,0.022767747
604,0.022960433
605,0.023217342
606,0.023553884
607,0.023766553
608,0.024001572
609,0.024200836
610,0.024402322
611,0.024765524
612,0.025093718
613,0.025353087
614,0.025603334
