wl,LED590nm,LED645nm,LED680nm,LED700nm,LED720nm,LED735nm,LED755nm
200,1145.051025,930.693598,859.4424049,863.4679011,791.41161,758.6038541,743.5082565
205,1138.559926,923.6154454,863.1911417,849.0767644,782.2871578,741.1432825,740.1285222
210,1124.381681,927.5893319,856.5703712,844.2229496,781.9749193,726.1986435,733.6070955
215,1126.116306,930.7085097,857.153847,852.4797927,792.127247,727.2646507,727.7566551
220,1133.168367,929.642499,866.0919303,850.9217778,792.701251,732.2666966,737.596752
225,1139.283724,926.056549,867.9810931,849.6728447,795.0035824,731.6485385,745.4435965
230,1138.772799,919.8402616,867.9810931,844.2229452,793.3004948,727.4759592,742.0374051
235,1121.316101,926.9080952,869.7693411,845.8408885,785.1256455,733.1813261,739.1421438
240,1116.194209,923.6564489,866.5019282,851.2497898,785.2391787,734.152719,734.5627194
245,1120.212249,916.6863855,848.0517578,841.163694,785.1571768,725.0506298,726.0346432
250,1131.194031,921.9691233,856.3149062,853.675117,778.4835815,728.9235887,728.1572007
255,1129.405795,919.3293293,871.5575866,849.8431632,784.4444016,743.3998765,737.0984403
260,1122.180275,913.8983584,857.891848,836.8176608,789.3392153,744.2388102,742.2707926
265,1133.988372,913.8983561,849.9377759,862.5658975,782.6971594,741.1227824,746.8628337
270,1122.593426,923.7573735,852.5681035,849.8431608,772.8633798,727.9868915,727.4759662
275,1108.322139,933.0865411,864.1239037,834.1116288,774.9890905,726.93665,727.0186519
280,1108.814137,923.5744539,872.1599822,839.8516823,779.0071252,731.2826923,734.8087227
285,1120.720022,910.1326341,859.7210999,842.4347065,775.928941,727.6462755,729.1790538
290,1135.05438,912.6683464,857.1538448,848.4617649,772.7750651,734.6447212,728.4946628
295,1128.658321,924.7224573,861.8278899,842.7217091,777.6131139,740.5487738,730.7906901
300,1121.741878,924.4386126,854.271205,844.5635681,786.0623451,736.417201,738.1202956
305,1120.294248,925.1324643,851.0857838,854.4478149,787.0431925,731.2826921,735.8747331
310,1117.916224,921.2784288,852.5617947,855.431826,788.0272036,732.0206976,732.3487006
315,1114.964188,926.4444739,852.5617992,849.5277734,785.2391854,736.2847357,724.1486229
320,1104.960087,927.4284804,855.0218236,834.1116266,779.9091366,739.1547625,717.5065623
325,1098.482033,920.622423,871.0939762,834.8496342,770.807052,728.5766647,719.310583
330,1098.810045,920.2124228,873.7180018,835.4236428,764.7389956,713.8985302,723.6566231
335,1105.616107,924.804466,862.1558906,835.9976423,777.2851089,718.080571,727.0186519
340,1130.954341,935.5465631,872.3239837,860.8438744,796.3912851,735.8747311,748.0928434
345,1144.238473,928.4124937,872.0779781,863.7959052,805.0833673,746.780825,765.1489958
350,1122.672275,917.2603895,851.3317803,847.7237549,796.0632799,736.6127341,742.6807974
355,1113.078179,916.1123771,853.9558015,853.3818066,786.8791956,732.5126998,731.6106997
360,1113.414974,918.4230412,859.8305773,846.7045986,788.8237871,729.7568883,719.635655
365,1102.992097,917.5063906,862.2378902,833.2096174,781.5491514,725.9526434,710.618503
370,1112.586177,924.8044547,866.1739253,850.1837769,784.9931844,736.2027407,724.7226336
375,1125.354863,927.7535575,862.6771807,864.8912026,790.8796627,740.6688516,734.264001
380,1122.836268,924.8044592,861.9098872,854.8578243,791.3892393,740.302775,743.5827999
385,1113.898189,925.6244665,855.7598311,834.9316271,782.0411559,737.1047453,737.7607467
390,1108.51249,917.3160379,864.8911983,840.3788234,775.7768816,741.0642133,728.6498761
395,1099.958044,914.9643736,868.4699436,839.5236816,779.3351283,733.4967109,725.1326339
400,1101.106066,920.1304209,856.8258373,837.5556595,772.9390734,726.0346431,712.5865161
405,1114.759195,917.3951089,857.7747039,837.9275927,778.4653343,740.4316341,727.7010128
410,1117.843007,921.1114981,859.4352177,838.7973873,794.1216213,734.5802874,748.3388455
415,1123.457129,924.1162371,867.3424269,853.5048043,791.8285326,727.147511,743.1991512
420,1115.046192,923.5744449,865.1899053,851.5777859,768.0190249,740.1387758,739.0727584
425,1100.368051,928.1664904,865.6819097,840.0156815,757.7689322,750.5528677,735.7927292
430,1130.178257,926.0139705,884.8173784,859.5933642,794.7541983,766.6045139,757.432142
435,1139.82506,931.8653086,874.2217101,870.1890325,810.1732635,759.3298754,756.5623495
440,1125.354854,937.6375734,860.3840855,856.5095454,783.5259487,740.7479226,730.9429691
445,1130.178258,933.7630354,873.4309953,862.2027393,782.4189366,746.678336,732.6034872
450,1131.443407,929.0187073,874.4589298,865.1284115,786.5306898,746.2829677,741.4595729
455,1109.698565,925.1441694,864.4958344,850.6582053,781.5491551,732.0499768,738.2176121
460,1105.586814,919.0556118,863.309747,845.4394444,786.1353388,725.1707065,724.6962738
465,1114.047529,909.2506692,859.8305773,841.5649109,778.8606959,717.1053467,720.1891632
470,1119.819807,921.3487112,865.8400661,846.7046051,778.7025539,726.0404969,738.2176143
475,1127.64796,931.628091,874.2217147,847.3371909,785.5027575,736.7943115,740.9851358
480,1116.419715,924.7488142,858.644503,845.7557439,776.8048226,721.9287436,722.0078147
485,1122.50827,922.3766502,842.5137788,857.9328461,776.2513188,731.2592578,724.7753405
490,1123.931566,916.5253122,856.2723302,854.8490273,792.8564671,740.985138,726.5940007
495,1113.194121,914.3140217,864.8421189,853.3902862,786.5879559,737.345097,723.2211682
500,1119.149071,925.0023972,866.0636513,852.2451025,770.6317413,743.1473557,733.9095416
505,1112.545177,921.2696468,859.2770801,845.4394401,776.9629648,739.7990548,735.0547202
510,1108.828775,916.0508838,852.47687,843.6998531,781.9445125,728.2545209,722.7194649
515,1122.191964,920.3998479,851.8442928,839.1927446,781.5491529,729.0452379,721.1380222
520,1115.789845,917.1388024,847.5116829,832.1662302,780.3276262,728.7943893,722.3050179
525,1123.042678,917.36784,853.4666327,836.2888899,778.953407,725.5115356,729.6341868
530,1123.457136,918.027686,852.4768676,846.3883101,776.0141013,723.747406,722.5613185
535,1118.232919,924.1625977,855.5279646,854.2300858,781.0910749,724.6717319,723.2975127
540,1131.364355,928.2852551,845.9847749,850.1837812,793.9171206,727.7255564,719.3275461
545,1142.73983,933.4767455,848.6568647,846.9772677,794.4515424,720.778114,715.4339178
550,1267.412067,935.0799982,856.2150754,856.9021774,778.2662944,732.2299405,736.5052848
