attracted,wavelength,individual,species,date,temperature
1,590,A1,Castiarina_flavopicta,2019_01_31,29.35
1,645,A1,Castiarina_flavopicta,2019_02_01,29.7
1,680,A1,Castiarina_flavopicta,2019_01_31,29.35
1,700,A1,Castiarina_flavopicta,2019_01_31,30
1,720,A1,Castiarina_flavopicta,2019_01_31,30.1
0,735,A1,Castiarina_flavopicta,2019_02_01,29
1,590,A10,Castiarina_flavopicta,2019_02_01,29.5
0,645,A10,Castiarina_flavopicta,2019_02_02,29.5
0,680,A10,Castiarina_flavopicta,2019_02_01,29.5
1,700,A10,Castiarina_flavopicta,2019_02_01,29.65
0,720,A10,Castiarina_flavopicta,2019_02_01,29.7
0,735,A10,Castiarina_flavopicta,2019_02_02,29.2
0,590,A13,Castiarina_flavopicta,2019_02_01,29.5
1,645,A13,Castiarina_flavopicta,2019_02_02,29.5
0,680,A13,Castiarina_flavopicta,2019_02_01,29.5
0,700,A13,Castiarina_flavopicta,2019_02_01,29.65
0,720,A13,Castiarina_flavopicta,2019_02_01,29.7
0,735,A13,Castiarina_flavopicta,2019_02_02,29.2
1,590,A14,Castiarina_flavopicta,2019_02_01,29.5
1,645,A14,Castiarina_flavopicta,2019_02_02,29.5
0,680,A14,Castiarina_flavopicta,2019_02_01,29.5
0,700,A14,Castiarina_flavopicta,2019_02_01,29.65
0,720,A14,Castiarina_flavopicta,2019_02_01,29.7
0,735,A14,Castiarina_flavopicta,2019_02_02,29.2
1,590,A2,Castiarina_flavopicta,2019_01_31,29.35
0,645,A2,Castiarina_flavopicta,2019_02_01,29.7
1,680,A2,Castiarina_flavopicta,2019_01_31,29.35
0,700,A2,Castiarina_flavopicta,2019_01_31,30
1,720,A2,Castiarina_flavopicta,2019_01_31,30.1
0,735,A2,Castiarina_flavopicta,2019_02_01,29
1,590,A3,Castiarina_flavopicta,2019_01_31,29.35
1,645,A3,Castiarina_flavopicta,2019_02_01,29.7
1,680,A3,Castiarina_flavopicta,2019_01_31,29.35
0,700,A3,Castiarina_flavopicta,2019_01_31,30
0,720,A3,Castiarina_flavopicta,2019_01_31,30.1
0,735,A3,Castiarina_flavopicta,2019_02_01,29
1,590,A4,Castiarina_flavopicta,2019_01_31,29.35
1,645,A4,Castiarina_flavopicta,2019_02_01,29.7
1,680,A4,Castiarina_flavopicta,2019_01_31,29.35
1,700,A4,Castiarina_flavopicta,2019_01_31,30
1,720,A4,Castiarina_flavopicta,2019_01_31,30.1
0,735,A4,Castiarina_flavopicta,2019_02_01,29
0,590,A5,Castiarina_flavopicta,2019_01_31,29.35
1,645,A5,Castiarina_flavopicta,2019_02_01,29.7
1,680,A5,Castiarina_flavopicta,2019_01_31,29.35
0,700,A5,Castiarina_flavopicta,2019_01_31,30
