wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(570,A1, filter580)","LWS(570,A1, filter600)","LWS(570,A1, filter620)","LWS(570,A1, filter640)","LWS(570,A1, filter660)"
300,0.510902653,0.178012406,0.117645055,2.95352E-36,1.4714E-150,0,0,0
305,0.572002947,0.202685827,0.134711455,6.7207E-33,2.711E-136,0,0,0
310,0.627582469,0.225839322,0.152321172,7.34758E-30,2.1985E-123,0,0,0
315,0.679337524,0.246410091,0.170078152,4.1344E-27,1.0553E-111,8.4483E-284,0,0
320,0.729610206,0.263507416,0.187533849,1.27426E-24,3.9201E-101,8.2462E-257,0,0
325,0.780286852,0.27653712,0.204205697,2.27589E-22,1.43634E-91,2.1739E-232,0,0
330,0.831884988,0.285304657,0.219600091,2.47872E-20,6.46494E-83,2.7148E-210,0,0
335,0.883073622,0.29008107,0.233238593,1.72395E-18,4.35989E-75,2.6703E-190,0,0
340,0.930661001,0.291620764,0.244685673,7.98316E-17,5.27274E-68,3.277E-172,0,0
345,0.969923262,0.291126525,0.253576055,2.55614E-15,1.34546E-61,7.608E-156,0,0
350,0.995106262,0.290164425,0.259639639,5.85606E-14,8.39234E-56,4.87E-141,1.3484E-294,0
355,1,0.29053754,0.262722121,9.9011E-13,1.46187E-50,1.2085E-127,1.5443E-266,0
360,0.978592974,0.294132009,0.262799716,1.27055E-11,8.022E-46,1.5828E-115,3.7548E-241,0
365,0.925902632,0.302751213,0.259986932,1.26929E-10,1.54659E-41,1.4461E-104,3.4785E-218,0
370,0.839163394,0.317954076,0.254536885,1.01015E-09,1.15628E-37,1.18662E-94,2.0844E-197,0
375,0.719666175,0.34091228,0.246834338,6.53933E-09,3.6658E-34,1.09903E-85,1.3043E-178,0
380,0.575315258,0.372299079,0.237382236,3.50947E-08,5.34382E-31,1.41309E-77,1.3146E-161,0
385,0.422344932,0.412219825,0.226783002,1.58858E-07,3.85454E-28,3.04187E-70,3.1597E-146,8.2836E-300
390,0.282201983,0.46019073,0.215716199,6.16154E-07,1.47036E-25,1.29898E-63,2.583E-132,3.276E-271
395,0.172191195,0.515167346,0.204914284,2.07762E-06,3.15088E-23,1.28325E-57,9.9052E-120,2.4339E-245
400,0.097469902,0.575617526,0.195138051,6.17232E-06,4.00735E-21,3.37121E-52,2.3842E-108,6.1739E-222
405,0.052328141,0.639626017,0.187153074,1.63591E-05,3.18016E-19,2.67276E-47,4.68999E-98,9.1841E-201
410,0.027215806,0.705011677,0.181707983,3.914E-05,1.64856E-17,7.17381E-43,9.57727E-89,1.3077E-181
