wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(580,A1)","LWS(600,A1)","LWS(620,A1)","LWS(640,A1)","LWS(660,A1)"
300,0.510902653,0.178012406,0.117645055,0.097948814,0.091853041,0.086523884,0.08183786,0.077694655
305,0.572002947,0.202685827,0.134711455,0.111692908,0.104502148,0.0981962,0.092639208,0.087718745
310,0.627582469,0.225839322,0.152321172,0.126163898,0.117882055,0.110584608,0.104130998,0.098401658
315,0.679337524,0.246410091,0.170078152,0.141165553,0.131844333,0.123576595,0.116227786,0.109678426
320,0.729610206,0.263507416,0.187533849,0.156461662,0.146206671,0.137031249,0.128820437,0.121464357
325,0.780286852,0.27653712,0.204205697,0.171780813,0.160755467,0.150780532,0.141776627,0.133655072
330,0.831884988,0.285304657,0.219600091,0.186823506,0.175250141,0.16463181,0.154942244,0.146127211
335,0.883073622,0.29008107,0.233238593,0.201271419,0.189429106,0.178371652,0.168143752,0.158739856
340,0.930661001,0.291620764,0.244685673,0.21479853,0.203017277,0.191770835,0.181191496,0.171336675
345,0.969923262,0.291126525,0.253576055,0.227083596,0.215734844,0.204590445,0.193883895,0.183748783
350,0.995106262,0.290164425,0.259639639,0.237823395,0.227306972,0.216588869,0.206012429,0.195798258
355,1,0.29053754,0.262722121,0.246746044,0.237473988,0.227529412,0.217367249,0.207302233
360,0.978592974,0.294132009,0.262799716,0.253623641,0.24600158,0.237188239,0.227743228,0.218077442
365,0.925902632,0.302751213,0.259986932,0.258283524,0.25269048,0.24536229,0.236946223,0.227945066
370,0.839163394,0.317954076,0.254536885,0.260617483,0.257385143,0.251876799,0.244799294,0.236735729
375,0.719666175,0.34091228,0.246834338,0.260588398,0.259980956,0.256592073,0.251148617,0.244294437
380,0.575315258,0.372299079,0.237382236,0.258233942,0.260429608,0.259409193,0.255868837,0.250485277
385,0.422344932,0.412219825,0.226783002,0.253667173,0.258742334,0.260274378,0.25886763,0.255195699
390,0.282201983,0.46019073,0.215716199,0.247074067,0.254990912,0.259181794,0.260089265,0.258340194
395,0.172191195,0.515167346,0.204914284,0.238708249,0.24930639,0.256174701,0.259517023,0.259863225
400,0.097469902,0.575617526,0.195138051,0.228883331,0.241875693,0.251344905,0.257174361,0.259741296
405,0.052328141,0.639626017,0.187153074,0.217963462,0.232936358,0.244830591,0.253124805,0.257984079
410,0.027215806,0.705011677,0.181707983,0.206352737,0.222769793,0.236812687,0.24747059,0.254634559
415,0.013941227,0.769436024,0.179514835,0.194484171,0.211693477,0.227510018,0.240350152,0.249768218
420,0.007113738,0.830485473,0.18123133,0.182808906,0.200052626,0.217173519,0.231934621,0.243491304
425,0.003642031,0.88571934,0.187444159,0.171786208,0.188211799,0.20607989,0.222423515,0.235938293
430,0.001879034,0.932689994,0.198652568,0.161874693,0.17654691,0.194525016,0.212039881,0.227268675
435,0.000979427,0.968957398,0.215251303,0.153525003,0.165438033,0.182817533,0.201025135,0.217663223
440,0.000516492,0.992133826,0.237512514,0.147173942,0.155263279,0.171272846,0.189633868,0.207319942
445,0.00027575,1,0.265566937,0.143239897,0.146393901,0.160207865,0.178128866,0.196449886
450,0.00014909,0.990723658,0.299385572,0.142119088,0.139190625,0.149936656,0.166776579,0.185273031
455,8.16345E-05,0.963178217,0.338763982,0.144182112,0.134001068,0.140767106,0.155843213,0.1740144
460,4.52622E-05,0.91730324,0.383311916,0.149770046,0.131157951,0.132998602,0.145591585,0.162900584
465,2.54061E-05,0.85438956,0.432450916,0.159189442,0.13097768,0.126920632,0.136278812,0.152156806
470,1.44333E-05,0.777150153,0.485421784,0.172705558,0.133758792,0.122812094,0.128154822,0.142004607
