wl,Irradiance
300,0.000706373
301,-9.57E-05
302,-0.000606424
303,-0.000209191
304,-0.00022526
305,0.000227743
306,0.000290662
307,0.000106133
308,0.000131767
309,-3.28E-06
310,0.000110248
311,0.000143507
312,0.000203905
313,0.000420503
314,0.000507229
315,0.00041172
316,0.000151459
317,6.38E-05
318,-0.000479979
319,-0.000573234
320,-0.000339616
321,-0.000241143
322,0.000135821
323,0.0004535
324,-1.81E-05
325,0.000199607
326,8.32E-05
327,-0.000110258
328,0.000108675
329,-7.25E-05
330,-9.83E-05
331,-0.000108585
332,0.000112194
333,1.80E-05
334,-0.000207125
335,-0.000217751
336,-0.000240525
337,-0.000119594
338,0.000330404
339,0.000300245
340,0.000378858
341,0.000329128
342,5.92E-05
343,3.40E-05
344,-9.20E-05
345,-6.13E-06
346,8.75E-05
347,8.91E-05
348,-0.000134461
349,-0.000507544
350,-0.000600132
351,-0.000651048
352,-0.000499079
353,-0.000266224
354,-0.000121192
355,9.04E-05
356,0.000246926
357,0.000235912
358,0.000324189
359,0.00027281
360,7.75E-05
361,0.000278914
362,0.00014645
363,-6.52E-05
364,-7.62E-05
365,-0.000421208
366,-0.000577306
367,-0.000373873
368,-0.000373101
369,-0.000109047
370,7.16E-05
371,-6.72E-05
372,0.000181878
373,5.11E-05
374,7.52E-05
375,1.17E-05
376,-9.26E-05
377,-0.000105347
378,-0.000172266
379,1.53E-05
380,4.25E-05
381,-3.03E-05
382,-0.000130107
383,-8.92E-05
384,-3.72E-05
385,3.67E-05
386,7.55E-05
387,-3.57E-05
388,-0.00022169
389,-5.41E-05
390,7.37E-05
391,0.000188134
392,0.000367991
393,0.000340363
394,0.000184493
395,2.70E-06
396,4.17E-06
397,-0.000148937
398,-3.11E-05
399,0.000116601
400,-1.01E-05
401,-6.54E-05
402,-0.000104043
403,-0.000235789
404,-0.000254423
405,-0.00011498
406,-5.80E-05
407,3.20E-06
408,0.000203426
409,0.00019752
410,0.000151391
411,0.000134316
412,-2.30E-05
413,-2.26E-05
414,5.54E-05
415,8.28E-05
416,0.000200265
417,0.000234158
418,0.000206266
419,0.000132798
420,2.90E-05
421,4.68E-05
422,-6.05E-05
423,0.000155658
424,0.000299357
425,0.000300248
426,0.000365185
427,0.000281843
428,9.53E-05
429,-6.40E-05
430,-8.09E-05
431,-0.000235881
432,-0.000231679
433,-0.000245705
434,-0.000235256
435,-0.000153936
436,-9.63E-05
437,9.91E-05
438,0.00010557
439,0.000177832
440,0.00028585
441,0.000258077
442,0.000309138
443,0.000427208
444,0.000326273
445,0.000354641
446,0.00035841
447,0.000253113
448,0.000246838
449,0.000174942
450,0.000221798
451,0.000228829
452,0.000198196
453,0.00019008
454,0.000148584
455,0.00012874
456,0.000164248
457,0.000200603
458,0.000132368
459,5.04E-05
460,-5.64E-05
461,-7.32E-05
462,-2.35E-05
463,0.000151957
464,0.000210176
465,0.000177015
466,0.0001582
467,0.000133522
468,0.000108741
469,0.000205632
470,0.000134867
471,0.000110859
472,0.000221597
473,0.000185943
474,0.000214185
475,0.000127492
476,5.87E-05
477,6.27E-05
478,9.45E-05
479,0.000150618
480,0.000139858
481,8.79E-05
482,0.00011987
483,0.000140505
484,0.000131923
485,0.000193998
486,0.000169183
487,0.000181269
488,0.000163191
489,0.000181837
490,0.000198924
491,0.000154946
492,0.000144697
493,0.000152537
494,0.000106949
495,8.59E-05
496,0.000142922
497,0.000193122
498,0.00022174
499,0.000270099
500,0.000247807
501,0.000174089
502,0.000202856
503,0.000192613
504,0.000197064
505,0.000229386
506,0.000177942
507,0.000211589
508,0.000201381
509,0.000168155
510,0.000156254
511,0.000112673
512,0.000192004
513,0.000243239
514,0.000251117
515,0.000241607
516,0.000202574
517,0.000174933
518,0.00022287
519,0.000251455
520,0.000267068
521,0.000275457
522,0.000259694
523,0.000274899
524,0.000258816
525,0.000321468
526,0.000345861
527,0.000293128
528,0.000336885
529,0.000333676
530,0.000364478
531,0.000407398
532,0.000385249
533,0.000342378
534,0.000360078
535,0.000340284
536,0.000358551
537,0.000407263
538,0.000367292
539,0.00038567
540,0.000401595
541,0.000394266
542,0.000387678
543,0.000338473
544,0.000302004
545,0.000309112
546,0.000341
547,0.000428588
548,0.000459178
549,0.000479125
550,0.000513656
551,0.00051512
552,0.000479902
553,0.000477525
554,0.000479199
555,0.000415598
556,0.000468643
557,0.000446754
558,0.000453641
559,0.000505193
560,0.000534806
561,0.000571524
562,0.000538958
563,0.000524892
564,0.000490714
565,0.000544841
566,0.000557802
567,0.000599003
568,0.00059502
569,0.000511977
570,0.000494894
571,0.000442786
572,0.000525796
573,0.000499725
574,0.000540518
