wl,SPECTRUM0038.jaz,SPECTRUM0040.jaz,SPECTRUM0041.jaz,SPECTRUM0042.jaz,SPECTRUM0043.jaz,SPECTRUM0047.jaz,SPECTRUM0048.jaz,SPECTRUM0049.jaz,SPECTRUM0050.jaz,SPECTRUM0051.jaz,SPECTRUM0053.jaz,SPECTRUM0054.jaz,SPECTRUM0055.jaz,SPECTRUM0056.jaz,SPECTRUM0057.jaz,SPECTRUM0059.jaz,SPECTRUM0060.jaz,SPECTRUM0061.jaz,SPECTRUM0062.jaz,SPECTRUM0063.jaz,SPECTRUM0065.jaz,SPECTRUM0066.jaz,SPECTRUM0067.jaz,SPECTRUM0068.jaz,SPECTRUM0069.jaz,SPECTRUM0071.jaz,SPECTRUM0072.jaz,SPECTRUM0073.jaz,SPECTRUM0074.jaz,SPECTRUM0075.jaz,SPECTRUM0077.jaz,SPECTRUM0078.jaz,SPECTRUM0079.jaz,SPECTRUM0080.jaz,SPECTRUM0081.jaz
200,1145.051025,1206.842296,1074.202354,1013.417458,980.4084251,930.693598,919.01967,907.9495849,887.4195722,868.2984842,859.4424049,859.2411335,833.2767111,826.6346491,817.1747492,863.4679011,809.1237627,801.274059,771.0828801,774.5045445,791.41161,779.9389537,729.0164905,738.2751186,736.0611015,758.6038541,707.0775535,712.511974,679.5029408,679.1003973,743.5082565,703.0520629,680.7105879,677.0876465,648.9092129
205,1138.559926,1182.840322,1071.862549,1014.298032,980.5342179,923.6154454,912.4530919,898.9844742,891.6966577,880.4420523,863.1911417,844.4642284,825.4605458,826.0140533,815.4974594,849.0767644,803.8738505,794.2797725,775.0915909,763.5602366,782.2871578,763.3757324,734.224472,739.759524,733.5787149,741.1432825,715.682045,707.0104702,679.6119639,674.6304194,740.1285222,693.0805893,660.3315404,660.6082942,643.5418853
210,1124.381681,1162.701256,1061.367244,1015.72437,978.2563313,927.5893319,905.7897503,888.0775805,898.977384,891.909546,856.5703712,831.3646099,826.2553242,816.3773898,812.6305848,844.2229496,795.6848168,789.6388455,774.4813117,764.2627586,781.9749193,760.3456468,737.4390565,736.0765874,719.7268935,726.1986435,712.1481323,700.0561735,686.5165828,678.0011197,733.6070955,680.9815393,653.476593,655.6054593,645.8978271
215,1126.116306,1174.004743,1064.041728,1020.581335,985.3210179,930.7085097,904.3042738,892.0861614,889.3801404,883.9680854,857.153847,829.8475929,827.223565,810.8234185,817.7114779,852.4797927,790.7332311,789.093221,776.9571036,771.6270593,792.127247,763.9189906,739.8927658,734.7267275,713.2425266,727.2646507,708.9784886,695.6943608,693.9723489,686.5922784,727.7566551,693.070342,667.5681017,669.5361191,654.2019834
220,1133.168367,1191.388902,1066.337757,1020.827336,991.9630829,929.642499,892.4961616,891.1021571,889.9541399,888.642126,866.0919303,838.9496754,830.3395928,816.727469,807.3793856,850.9217778,802.8693373,781.6311487,781.0571379,770.7250502,792.701251,755.0629115,746.370827,730.8726897,720.2945896,732.2666966,715.5385471,699.7943997,693.3163453,684.8702642,737.596752,708.6504811,674.6201669,672.4061459,658.630023
225,1139.283724,1216.43381,1055.406431,1019.045398,992.4771588,926.056549,885.0120169,893.2720195,895.3157301,889.6955262,867.9810931,847.1182087,831.2794471,822.2530564,793.8965689,849.6728447,818.506249,784.4443993,782.5710003,777.2914171,795.0035824,756.5988512,742.8889512,732.3297706,728.7532817,731.6485385,711.8075115,704.0584412,688.730605,670.5075145,745.4435965,713.3402945,679.8745234,665.0576195,654.4984459
230,1138.772799,1199.317735,1060.515705,1017.172004,991.8810684,919.8402616,910.9841802,906.8116032,889.1846007,874.1973878,867.9810931,840.9870746,828.3841905,820.5499667,797.5582135,844.2229452,820.9757362,790.1497592,787.5099746,780.6976014,793.3004948,764.0924565,738.5460651,733.6922467,735.2250319,727.4759592,712.3184345,688.9009165,688.049368,674.5097797,742.0374051,701.8444167,677.3198852,660.7998868,650.5813339
235,1121.316101,1173.771344,1061.282104,1019.045408,988.4748841,926.9080952,924.0979943,901.8726384,885.1823355,883.1386204,869.7693411,834.3450106,817.5695567,822.4233633,801.3050185,845.8408885,818.9320304,779.420281,781.1233803,775.7586295,785.1256455,755.6621423,732.4149333,721.0893625,727.2204989,733.1813261,713.8512198,683.8767912,688.4751398,677.6605037,739.1421438,690.0079228,681.833083,663.354525,648.9633976
240,1116.194209,1161.622617,1054.365655,1019.187321,985.7310112,923.6564489,913.4883535,898.0722227,878.9660465,882.9840768,866.5019282,830.7495931,820.7455083,828.6995714,807.3793832,851.2497898,810.24941,774.5790834,769.4950449,773.2670718,785.2391787,746.2068279,732.7587099,727.5926536,728.2486618,734.152719,712.7505245,691.4303182,681.098226,676.5061827,734.5627194,688.4782987,674.8661703,659.122025,649.691942
245,1120.212249,1139.646426,1051.331615,1010.085237,972.2828844,916.6863855,912.3403409,893.1521764,879.2120452,876.8340251,848.0517578,838.5396728,836.8176541,821.5655066,805.6573623,841.163694,797.2932897,779.4171324,761.7869736,767.1990176,785.1571768,749.7328627,736.1207457,729.1506709,733.1687034,725.0506298,710.4544995,687.1662823,676.178182,682.4922327,726.0346432,676.0961801,659.7780333,660.4340413,649.0359339
250,1131.194031,1170.194867,1057.27983,1013.680659,979.3633423,921.9691233,910.388099,882.5425392,875.815317,877.3481093,856.3149062,842.6901715,830.2575918,816.9734662,810.0759395,853.675117,803.2635756,785.8068801,758.3019407,762.644827,778.4835815,753.2778157,736.1617455,733.3516305,720.5784395,728.9235887,724.0697773,696.6499892,690.3485413,684.6431767,728.1572007,688.3048353,659.6928805,668.0380366,644.4502023
255,1129.405795,1188.16249,1063.751582,1020.237568,995.7981943,919.3293293,909.8771692,888.1627456,874.3676899,870.5357361,871.5575866,847.2033668,825.2334688,818.6765583,816.6328477,849.8431632,811.0977995,789.5536827,766.7322458,764.8588491,784.4444016,752.6817346,742.1225657,735.8211177,714.8730798,743.3998765,727.7314289,702.6959674,691.8813243,684.3025607,737.0984403,700.2264897,666.1646329,660.7147381,652.1992774
260,1122.180275,1175.234741,1055.67766,1017.957314,991.6350753,913.8983584,916.7683852,901.5982509,883.9680854,871.0119719,857.891848,843.2957109,824.6815411,815.989459,820.745506,836.8176608,801.0653236,788.2732114,773.0210685,771.5450575,789.3392153,756.702926,740.384777,730.1346842,716.1125489,744.2388102,711.8485153,697.7443825,680.6882235,681.7542272,742.2707926,690.2823148,682.7382429,663.8780699,646.6579138
265,1133.988372,1183.024812,1055.349657,1018.53132,990.569067,913.8983561,917.1783899,895.6941958,889.1341303,884.7880971,849.9377759,835.2596346,829.7655865,818.449481,819.7614994,862.5658975,794.7512706,791.4712366,782.2871546,769.1670351,782.6971594,762.3609777,740.8767791,733.9067157,718.1625661,741.1227824,709.0604881,703.8944363,684.6242631,689.954305,746.8628337,696.6783696,686.264271,672.4881479,642.1478701
270,1122.593426,1163.723098,1060.771163,1010.359636,987.9639635,923.7573735,898.1258263,884.671403,882.2019183,886.8002671,852.5681035,838.0066622,826.0850173,822.7639818,810.0759441,849.8431608,792.619251,786.6584284,777.6320378,761.878432,772.8633798,757.7058552,748.4240019,728.9235887,725.4322556,727.9868915,701.5037958,696.5648287,694.0953486,691.7110173,727.4759662,686.8572012,664.0357643,661.7365935,648.3673213
275,1108.322139,1150.634521,1057.399665,1016.727306,981.4669732,933.0865411,901.2702388,882.8200751,884.378097,882.4100771,864.1239037,841.491697,830.093594,818.0394808,816.4814679,834.1116288,803.0333433,790.4872324,764.656996,764.1649916,774.9890905,751.0448722,758.4249425,726.0346364,741.1227824,726.93665,706.764463,684.6242585,697.3343777,688.9703007,727.0186519,676.0141783,658.5480234,666.5020933,658.4660305
280,1108.814137,1156.046572,1054.201647,1025.33738,981.9589776,923.5744539,910.2903239,882.0000701,897.9082212,881.344071,872.1599822,842.55771,830.1755891,815.4974546,814.9234573,839.8516823,804.0173589,790.2412291,771.7910609,758.7529433,779.0071252,753.6689001,747.6828453,728.9866694,735.136721,731.2826923,705.2064503,686.1002761,689.4623075,691.5943286,734.8087227,680.6882235,670.6021299,673.2261511,658.3840196
285,1120.720022,1158.954444,1060.856326,1024.15468,978.5117915,910.1326341,903.4054142,894.8899629,896.7633596,881.9464605,859.7210999,844.6487286,825.4037781,819.4429485,809.8204838,842.4347065,800.9644072,780.0163644,778.1429655,759.4941032,775.928941,759.4941031,742.9741045,727.9868985,720.8339045,727.6462755,713.0848272,692.392254,685.0689557,684.7283418,729.1790538,683.195552,668.0380272,666.0794678,656.8827726
290,1135.05438,1166.62467,1056.907665,1026.977403,979.9089627,912.6683464,908.8143084,891.9221665,887.9861202,896.1042029,857.1538448,840.9176906,829.8475929,815.9894567,814.1854427,848.4617649,815.825462,780.565138,776.9571104,768.8390323,772.7750651,763.0989832,752.0288808,723.984626,731.8567006,734.6447212,719.146577,696.8423688,689.7082995,677.3261899,728.4946628,693.4803399,668.7161096,665.3540785,648.9539365
295,1128.658321,1163.508644,1058.301676,1023.369374,980.7289723,924.7224573,907.5843031,891.3481581,887.248117,880.7700626,861.8278899,835.259639,823.4515358,812.0534239,813.1194344,842.7217091,812.9554353,783.0251578,778.5151233,778.5151187,777.6131139,766.9530142,753.258893,716.0305538,736.2027383,740.5487738,712.4225123,703.5664357,691.0203134,681.0982191,730.7906901,695.3663556,681.2622273,657.482015,642.3938756
300,1121.741878,1168.832388,1070.478793,1023.217982,968.5487037,924.4386126,910.558406,903.7460373,887.1408879,880.3285195,854.271205,836.7293443,819.187493,822.9342957,802.6674946,844.5635681,795.6848168,781.5491426,774.7367765,771.4157505,786.0623451,768.7759517,744.2514273,714.4473055,728.4978214,736.417201,716.661323,704.6545199,690.6040063,685.3244135,738.1202956,690.0079228,683.1103985,652.7953561,652.3695797
305,1120.294248,1186.304864,1066.255762,1017.137306,975.3989235,925.1324643,914.5543688,897.4162099,897.0062051,895.940197,851.0857838,830.7495954,822.2215147,828.7815846,800.2453183,854.4478149,791.8812414,773.7590783,776.9571036,755.2269151,787.0431925,761.9509707,728.7406684,720.2945873,722.6726073,731.2826921,718.5725731,695.2843606,690.856312,688.478294,735.8747331,695.1203591,676.3421812,656.5800012,646.9039126
310,1117.916224,1175.480763,1051.659627,1005.329199,988.2730464,921.2784288,903.9762754,896.5142031,893.4801703,881.2620625,852.5617947,830.5035966,821.0735112,819.351497,809.5934019,855.431826,798.1952967,782.3691563,777.0391076,760.6389589,788.0272036,761.7869692,739.7287665,717.8345676,718.4905666,732.0206976,716.9325583,701.5164207,688.068287,689.6263021,732.3487006,693.7263456,670.9301374,653.0539664,650.1839441
315,1114.964188,1155.964573,1047.067577,1011.889253,981.3849781,926.4444739,897.5802138,894.3821842,886.8381144,877.5720283,852.5617992,840.671692,820.0895024,810.24941,812.545426,849.5277734,800.8193224,793.6032578,764.4929968,759.4089445,785.2391854,763.180985,739.072763,718.4905713,722.6726141,736.2847357,709.2244872,704.468438,677.2441903,690.5283068,724.1486229,691.0203181,665.6000863,663.3040614,653.9559801
320,1104.960087,1159.736604,1051.659623,1016.071296,975.8909233,927.4284804,907.0102991,887.7401237,889.4621424,887.7401168,855.0218236,846.0017429,824.4355355,806.0673692,811.7254209,834.1116266,795.4892759,798.8513047,764.410995,759.9009512,779.9091366,767.0350206,733.0047065,724.8866306,734.4807241,739.1547625,710.8644996,701.8444169,677.0801843,678.310201,717.5065623,687.2482798,663.4680628,661.17204,645.9199061
325,1098.482033,1157.030576,1051.413628,1011.643259,984.8290111,920.622423,911.0283361,896.5962028,895.2021915,878.8840378,871.0939762,840.3436889,823.6975301,810.9874132,814.021446,834.8496342,798.1133016,792.8652478,764.4929946,767.1170202,770.807052,773.8410803,737.1867427,729.1506733,736.4487395,728.5766647,709.224485,705.124453,697.2523713,661.9920564,719.310583,681.5082284,675.4401743,657.0720079,647.8059263
330,1098.810045,1143.500461,1048.953602,1011.069241,981.5489796,920.2124228,903.9762754,905.3702799,890.5281509,876.7520255,873.7180018,835.1776394,819.8434968,818.1214803,825.9935575,835.4236428,796.7192902,778.3511171,774.3330824,765.2310023,764.7389956,761.7869715,734.8907245,726.2806488,731.2826922,713.8985302,699.2203934,694.1363526,698.8103886,678.2282036,723.6566231,688.7242973,676.1781797,667.9781132,649.1179357
335,1105.616107,1150.71653,1057.727675,1016.645295,973.0208945,924.804466,905.5342837,905.8622888,878.966044,893.4801794,862.1558906,837.5556594,820.8275034,824.025533,823.1235262,835.9976423,797.3752961,773.7590761,779.4991297,755.6369131,777.2851089,754.5709071,735.8747355,724.5586323,722.918613,718.080571,700.4504032,685.0342678,687.5762871,690.0363069,727.0186519,696.4323708,666.0100844,667.404098,649.1179312
340,1130.954341,1179.744792,1071.093791,1023.451369,974.4969076,935.5465631,907.174296,900.0402335,886.7561102,899.3842321,872.3239837,840.3436821,830.8315973,825.7475472,813.6934385,860.8438744,812.1354303,780.2371374,774.0870791,756.1289175,796.3912851,766.2970129,746.4528311,729.6426776,734.3167183,735.8747311,711.7665088,701.7624171,679.8682183,681.1802188,748.0928434,703.4024342,679.2122057,664.8620741,660.8440416
345,1144.238473,1200.900983,1074.86582,1022.303356,991.06106,928.4124937,908.8143129,900.0402312,890.2821451,892.8241714,872.0779781,846.247735,836.24365,826.5675591,810.74141,863.7959052,820.9095121,792.7832529,778.3511194,769.1670351,805.0833673,769.1670375,752.4388879,734.3167182,742.4347919,746.780825,716.0305516,710.9465015,680.5242174,690.9383093,765.1489958,708.076477,676.8341879,672.6521494,657.318009
350,1122.672275,1176.956764,1063.30372,1018.777319,989.9950494,917.2603895,911.1103334,899.4662317,891.3481581,888.4781337,851.3317803,839.6876741,827.7975689,816.7274668,809.8394052,847.7237549,815.2514559,788.355211,785.4851887,761.6229723,796.0632799,762.2789759,747.9288487,739.3187617,735.5467304,736.6127341,711.6845093,706.9284668,689.708304,687.2482843,742.6807974,690.5283157,654.7759874,675.3581747,647.3959192
355,1113.078179,1160.638613,1048.297594,1019.023327,982.4509889,916.1123771,902.7462587,902.8282606,882.9020815,892.5781679,853.9558015,831.9796076,831.4876031,811.6434168,814.1854519,853.3818066,817.1374694,783.5171621,780.4011411,764.4929991,786.8791956,760.9669641,748.830858,748.256845,734.8907291,732.5126998,710.6185009,709.2244873,692.9883377,679.2122124,731.6106997,685.52627,653.7099767,664.6160798,651.823961
