wl,"UVS(380,A1)","SWS(473,A1)","MWS(567,A1)","LWS(570,A1, filter660)"
300,0.234751168,0.077982969,0.042075196,0
305,0.264752818,0.089188199,0.048043675,0
310,0.2919507,0.100168241,0.05430351,0
315,0.316693284,0.110496835,0.060757926,0
320,0.340176434,0.119751582,0.067292043,0
325,0.364163343,0.127551235,0.07377572,0
330,0.390542576,0.133593543,0.080067551,0
335,0.420844903,0.137689559,0.086019904,0
340,0.455847571,0.139790543,0.091484776,0
345,0.49535678,0.140004294,0.096320191,0
350,0.538192555,0.138598943,0.100396777,0
355,0.582333994,0.1359937,0.103604159,0
360,0.625143954,0.132737473,0.105856765,0
365,0.663593681,0.129477506,0.1070987,0
370,0.694444315,0.126920931,0.10730737,0
375,0.714395745,0.12579242,0.106495661,0
380,0.720260123,0.126790893,0.10471253,0
385,0.709233513,0.130547751,0.102042051,8.2836E-300
390,0.679307119,0.137588502,0.098600978,3.276E-271
395,0.629785321,0.148299256,0.094535089,2.4339E-245
400,0.561808383,0.162899474,0.090014568,6.1739E-222
405,0.478769324,0.181422514,0.085228787,9.1841E-201
410,0.386520899,0.203705763,0.080380839,1.3077E-181
415,0.29310566,0.229392005,0.075682169,2.7787E-164
420,0.207461247,0.257942849,0.071347573,1.3177E-148
425,0.136920328,0.288663402,0.067590783,2.0093E-134
430,0.084770382,0.320735217,0.064620723,1.3723E-121
435,0.049827161,0.353252556,0.062638414,5.6714E-110
440,0.028213424,0.38525605,0.061834402,1.8627E-99
445,0.015603218,0.415758517,0.062386468,6.22085E-90
450,0.008523491,0.443760215,0.064457312,2.63821E-81
455,0.004637092,0.468254848,0.068191884,1.73411E-73
460,0.002526719,0.488232442,0.073714061,2.11159E-66
465,0.001384083,0.502689757,0.081122457,5.58707E-60
470,0.000763975,0.510661756,0.090485333,3.70579E-54
475,0.000425525,0.51128676,0.101834773,7.0073E-49
480,0.000239362,0.503910798,0.115160566,4.24267E-44
485,0.000136036,0.488221991,0.130404426,9.13823E-40
490,7.81263E-05,0.464385662,0.147455362,7.70421E-36
495,4.53405E-05,0.433134073,0.166147018,2.77312E-32
500,2.65877E-05,0.395763939,0.186257642,4.61191E-29
505,1.57512E-05,0.354019259,0.207512992,3.8075E-26
510,9.42531E-06,0.309880115,0.229592047,1.66559E-23
515,5.69552E-06,0.26531726,0.252134833,4.09619E-21
520,3.47475E-06,0.222083513,0.274751305,5.97605E-19
525,2.13975E-06,0.181589472,0.297029974,5.4305E-17
530,1.32968E-06,0.144868777,0.318545087,3.21252E-15
535,8.33635E-07,0.112601854,0.338861562,1.28769E-13
540,5.27161E-07,0.085154639,0.357537529,3.62634E-12
545,3.36165E-07,0.062603788,0.374125258,7.41365E-11
550,2.16125E-07,0.04475057,0.388172114,1.13329E-09
555,1.40059E-07,0.031149122,0.399224093,1.33036E-08
