wl,"UVS(380,A1)","SWS(460,A1)","MWS(520,A1)","LWS(570,A1, filter580)","LWS(570,A1, filter600)","LWS(570,A1, filter620)","LWS(570,A1, filter640)","LWS(570,A1, filter660)"
300,0.234751168,0.086678937,0.05578011,1.80E-36,1.09E-150,0,0,0
305,0.264752818,0.098962793,0.063896868,4.09E-33,2.00E-136,0,0,0
310,0.2919507,0.110777935,0.07222009,4.47E-30,1.62E-123,0,0,0
315,0.316693284,0.12161924,0.080542696,2.52E-27,7.80E-112,7.11E-284,0,0
320,0.340176434,0.131015252,0.088633839,7.76E-25,2.90E-101,6.94E-257,0,0
325,0.364163343,0.138578904,0.096249746,1.39E-22,1.06E-91,1.83E-232,0,0
330,0.390542576,0.144055322,0.103146785,1.51E-20,4.78E-83,2.28E-210,0,0
335,0.420844903,0.147360715,0.109095939,1.05E-18,3.22E-75,2.25E-190,0,0
340,0.455847571,0.148607249,0.113897658,4.86E-17,3.90E-68,2.76E-172,0,0
345,0.49535678,0.148110418,0.117395959,1.56E-15,9.94E-62,6.40E-156,0,0
350,0.538192555,0.14637762,0.11949063,3.56E-14,6.20E-56,4.10E-141,1.26E-294,0
355,0.582333994,0.144078911,0.120146574,6.03E-13,1.08E-50,1.02E-127,1.44E-266,0
360,0.625143954,0.142002876,0.119399513,7.73E-12,5.93E-46,1.33E-115,3.50E-241,0
365,0.663593681,0.14100192,0.117357655,7.73E-11,1.14E-41,1.22E-104,3.25E-218,0
370,0.694444315,0.141931874,0.114199247,6.15E-10,8.54E-38,9.98E-95,1.95E-197,0
375,0.714395745,0.145590714,0.110166346,3.98E-09,2.71E-34,9.25E-86,1.22E-178,0
380,0.720260123,0.15266066,0.105555417,2.14E-08,3.95E-31,1.19E-77,1.23E-161,0
385,0.709233513,0.163657272,0.100705615,9.67E-08,2.85E-28,2.56E-70,2.95E-146,8.28E-300
390,0.679307119,0.178888656,0.095985688,3.75E-07,1.09E-25,1.09E-63,2.41E-132,3.28E-271
395,0.629785321,0.198427573,0.091780423,1.26E-06,2.33E-23,1.08E-57,9.24E-120,2.43E-245
400,0.561808383,0.222098898,0.088477388,3.76E-06,2.96E-21,2.84E-52,2.23E-108,6.17E-222
405,0.478769324,0.249484061,0.086454483,9.96E-06,2.35E-19,2.25E-47,4.38E-98,9.18E-201
410,0.386520899,0.279942482,0.086068513,2.38E-05,1.22E-17,6.04E-43,8.94E-89,1.31E-181
415,0.29310566,0.312647494,0.087644689,5.20E-05,4.30E-16,6.09E-39,2.35E-80,2.78E-164
420,0.207461247,0.346631483,0.091466784,0.000104954,1.08E-14,2.54E-35,9.74E-73,1.32E-148
425,0.136920328,0.380832782,0.097767535,0.000197537,1.98E-13,4.79E-32,7.58E-66,2.01E-134
430,0.084770382,0.414136453,0.106719029,0.000350805,2.76E-12,4.41E-29,1.31E-59,1.37E-121
435,0.049827161,0.445403016,0.118423032,0.000594176,3.02E-11,2.13E-26,5.78E-54,5.67E-110
440,0.028213424,0.473483417,0.132901675,0.000969677,2.67E-10,5.82E-24,7.52E-49,1.86E-99
445,0.015603218,0.497224413,0.150089367,0.001538667,1.95E-09,9.47E-22,3.25E-44,6.22E-90
450,0.008523491,0.515474854,0.169827158,0.002391239,1.21E-08,9.72E-20,5.20E-40,2.64E-81
455,0.004637092,0.527108478,0.191860897,0.003657623,6.44E-08,6.59E-18,3.40E-36,1.73E-73
460,0.002526719,0.531080487,0.215844238,0.005519959,3.01E-07,3.07E-16,9.92E-33,2.11E-66
465,0.001384083,0.526530189,0.241346851,0.008222075,1.25E-06,1.02E-14,1.39E-29,5.59E-60
470,0.000763975,0.512927563,0.26786722,0.01207456,4.64E-06,2.48E-13,9.98E-27,3.71E-54
475,0.000425525,0.490238017,0.29484837,0.01745259,1.55E-05,4.56E-12,3.92E-24,7.01E-49
480,0.000239362,0.459054812,0.321694136,0.024784733,4.70E-05,6.46E-11,8.87E-22,4.24E-44
485,0.000136036,0.420638387,0.347783436,0.034532053,0.000130026,7.21E-10,1.22E-19,9.14E-40
490,7.81E-05,0.376821649,0.372480544,0.047158307,0.000330413,6.47E-09,1.06E-17,7.70E-36
