wl,"UVS(380,A1)","SWS(460,A1)","MWS(520,A1)","LWS(580,A1)","LWS(600,A1)","LWS(620,A1)","LWS(640,A1)","LWS(660,A1)"
300,0.325925538,0.120343934,0.077444396,0.05443445,0.049097458,0.044553572,0.040660293,0.037323682
305,0.367579447,0.137398684,0.088713599,0.062072646,0.055858682,0.050563975,0.046026831,0.042139148
310,0.405340641,0.153802677,0.100269456,0.070114809,0.063010535,0.056943112,0.051736408,0.047271105
315,0.439692931,0.168854607,0.111824455,0.078451887,0.070473678,0.063633051,0.057746572,0.052688344
320,0.472296637,0.181899911,0.123058096,0.086952605,0.078150661,0.070561229,0.0640031,0.05835018
325,0.505599758,0.192401189,0.133631924,0.095466129,0.08592731,0.07764112,0.070440249,0.064206469
330,0.542224349,0.200004578,0.143207686,0.103826013,0.09367503,0.084773531,0.07698145,0.070197951
335,0.584295714,0.204593744,0.151467415,0.111855351,0.101253997,0.09184856,0.083540482,0.076256931
340,0.632892975,0.206324416,0.158134061,0.11937296,0.108517171,0.098748175,0.090023118,0.082308309
345,0.687747057,0.205634622,0.162991057,0.12620031,0.115314989,0.105349352,0.096329205,0.088270953
350,0.747219704,0.203228828,0.165899272,0.132168887,0.121500544,0.111527676,0.102355142,0.094059392
355,0.808505116,0.200037329,0.166809976,0.137127594,0.126935036,0.117161268,0.107996667,0.099585779
360,0.86794192,0.197154988,0.165772767,0.140949776,0.131493221,0.122134869,0.113151864,0.104762074
365,0.921325032,0.195765273,0.162937877,0.143539478,0.135068584,0.126343917,0.117724277,0.109502375
370,0.96415766,0.19705641,0.158552783,0.144836561,0.137577984,0.12969842,0.121625994,0.113725316
375,0.991857973,0.202136297,0.152953554,0.144820398,0.138965503,0.132126447,0.124780589,0.117356438
380,1,0.21195212,0.1465518,0.143511923,0.139205317,0.133577061,0.127125782,0.120330452
385,0.984690795,0.227219676,0.139818396,0.140973969,0.138303432,0.134022569,0.128615701,0.122593288
390,0.943141371,0.248366736,0.13326531,0.137309891,0.136298215,0.133459967,0.129222658,0.12410387
395,0.874385936,0.27549432,0.127426773,0.132660639,0.133259714,0.13191153,0.128938345,0.124835518
400,0.780007619,0.308359287,0.12284088,0.127200502,0.129287844,0.129424533,0.127774418,0.124776945
405,0.664717245,0.3463805,0.120032306,0.121131852,0.124509574,0.12607013,0.125762438,0.123932796
410,0.536640704,0.388668583,0.119496429,0.114679263,0.119075323,0.121941487,0.1229532,0.122323723
415,0.406944173,0.434075807,0.121684773,0.10808338,0.11315479,0.117151282,0.119415484,0.119985984
420,0.288036559,0.481258746,0.12699132,0.101594923,0.1069325,0.111828729,0.115234314,0.116970622
425,0.190098443,0.528743394,0.135739203,0.095469127,0.10060332,0.106116308,0.11050882,0.113342236
430,0.117694122,0.574981788,0.148167344,0.089960864,0.094368182,0.10016638,0.105349819,0.109177444
435,0.069179397,0.618391886,0.164417032,0.085320575,0.088430244,0.094137869,0.099877257,0.104563088
440,0.03917116,0.657378358,0.184518996,0.081791012,0.082991616,0.088193186,0.094217624,0.099594286
445,0.021663309,0.690340055,0.208382169,0.07960469,0.078250739,0.082495518,0.088501482,0.094372427
450,0.011833906,0.715678735,0.235785868,0.078981808,0.074400431,0.077206584,0.082861216,0.089003185
455,0.00643808,0.731830712,0.266377232,0.080128321,0.0716265,0.072484926,0.077429086,0.083594659
