wl,"UVS(380,A1)","UVS(480,A1)","LWS(580,A1)","LWS(680,A1)"
300,0.326229768,0.107005442,0.053441491,0.033894392
305,0.367922558,0.122463507,0.060940356,0.038166801
310,0.405719,0.13774526,0.068835819,0.042725165
315,0.440103355,0.152291789,0.077020817,0.047546859
320,0.472737495,0.165535272,0.085366471,0.052601732
325,0.506071701,0.176944339,0.093724696,0.057852006
330,0.542730476,0.186071613,0.101932084,0.063252403
335,0.5848411,0.192598691,0.109814957,0.068750513
340,0.633483668,0.196373824,0.117195434,0.07428742
345,0.68838873,0.197438186,0.123898244,0.079798581
350,0.747916046,0.196037819,0.129757946,0.085214959
355,0.809255692,0.192619937,0.1346262,0.090464371
360,0.868738198,0.187813993,0.13837866,0.095473036
365,0.922141082,0.182399448,0.140921121,0.100167277
370,0.964927414,0.17726335,0.142194544,0.10447531
375,0.992422825,0.173351367,0.142178676,0.108329092
380,1,0.171615935,0.14089407,0.111666132
385,0.983369151,0.17296461,0.138402411,0.11443122
390,0.939063455,0.178210999,0.134805171,0.116578012
395,0.865189439,0.188029846,0.130240728,0.118070401
400,0.762527279,0.202917478,0.124880191,0.118883623
405,0.636019621,0.223158838,0.118922241,0.119005078
410,0.496146725,0.248802794,0.112587356,0.118434799
415,0.358414216,0.279647974,0.106111792,0.117185597
420,0.238961618,0.315241524,0.099741693,0.115282844
425,0.147938193,0.354892467,0.09372764,0.112763936
430,0.08625832,0.397699492,0.088319855,0.10967745
435,0.048208119,0.442590321,0.083764211,0.106082039
440,0.026251587,0.488367085,0.080299032,0.102045127
445,0.014109498,0.5337503,0.078152592,0.097641443
450,0.007553674,0.577414141,0.077541072,0.092951489
455,0.004052534,0.61800791,0.078666671,0.088059977
460,0.00218718,0.65416267,0.081715483,0.083054327
465,0.001190287,0.684487161,0.086854765,0.078023272
470,0.000654073,0.707562039,0.094229243,0.073055623
475,0.000363194,0.721945222,0.103956253,0.068239244
480,0.000203867,0.726202349,0.11611967,0.063660259
485,0.000115693,0.718974668,0.130762835,0.059402521
490,6.63747E-05,0.699092916,0.147880973,0.055547317
495,3.84925E-05,0.665743171,0.167413838,0.052173336
500,2.25605E-05,0.618693453,0.189239499,0.049356821
505,1.33604E-05,0.558594466,0.213170257,0.047171909
510,7.99263E-06,0.487348759,0.238951493,0.045691062
515,4.82886E-06,0.408450093,0.266263946,0.044985535
520,2.94561E-06,0.32701749,0.294729386,0.045125795
525,1.81372E-06,0.249147445,0.323919096,0.046181797
530,1.127E-06,0.180502703,0.353364041,0.048223018
535,7.06524E-07,0.12474517,0.382565309,0.051318162
540,4.46762E-07,0.082778936,0.411003356,0.055534442
545,2.84887E-07,0.053193646,0.438144948,0.060936359
550,1.83154E-07,0.033393512,0.463447292,0.067583949
555,1.1869E-07,0.020642259,0.486359799,0.075530466
560,7.75125E-08,0.012645761,0.506324895,0.084819556
565,5.10039E-08,0.007715525,0.52278034,0.095482
570,3.38082E-08,0.00470525,0.535166292,0.107532192
575,2.25708E-08,0.002875436,0.542940691,0.120964555
580,1.51738E-08,0.001763979,0.545606028,0.13575017
585,1.02705E-08,0.001087599,0.542748894,0.151833898
590,6.99776E-09,0.000674482,0.534090603,0.169132279
595,4.79874E-09,0.000420936,0.519542888,0.187532456
600,3.31151E-09,0.000264446,0.499258249,0.206892273
605,2.29925E-09,0.000167264,0.473661645,0.227041595
610,1.606E-09,0.000106523,0.443451087,0.24778473
615,1.12833E-09,6.83067E-05,0.409560285,0.268903738
620,7.97265E-10,4.41001E-05,0.37308595,0.290162262
625,5.66475E-10,2.86643E-05,0.335192395,0.311309462
