wl,"UVS(355,A1)","SWS(455,A1)","MWS(560,A1)","LWS(570,A1, filter660)"
300,0.432761083,0.090458924,0.043759386,0
305,0.484516207,0.103193143,0.049999834,0
310,0.531594948,0.115345184,0.056529039,0
315,0.575434168,0.126379773,0.063238659,0
320,0.618017741,0.135811989,0.070001099,0
325,0.660943492,0.143263901,0.076673001,0
330,0.704649794,0.148516056,0.083100042,0
335,0.748009225,0.151546963,0.089122856,0
340,0.788318207,0.152555024,0.094583808,0
345,0.821575381,0.151959499,0.099334279,0
350,0.84290669,0.15037982,0.103242014,0
355,0.84705194,0.148595181,0.10619812,0
360,0.828919077,0.147488531,0.108123231,0
365,0.784287621,0.147980449,0.108972475,0
370,0.710814981,0.150958851,0.108738908,0
375,0.60959463,0.15721023,0.107455216,0
380,0.487321906,0.167357505,0.10519361,0
385,0.357748095,0.1818088,0.102063964,8.2836E-300
390,0.239039738,0.200720905,0.098210402,3.276E-271
395,0.145854886,0.223980486,0.093806597,2.4339E-245
400,0.08256207,0.251205037,0.08905019,6.1739E-222
405,0.044324653,0.281763688,0.084156712,9.1841E-201
410,0.023053202,0.314815192,0.079353419,1.3077E-181
415,0.011808943,0.349357255,0.0748734,2.7787E-164
420,0.006025706,0.384278886,0.070950234,1.3177E-148
425,0.00308499,0.418406798,0.067813326,2.0093E-134
430,0.001591639,0.450538864,0.065683977,1.3723E-121
435,0.000829626,0.479462221,0.064772054,5.6714E-110
440,0.000437496,0.503960098,0.065273036,1.8627E-99
445,0.000233574,0.522818467,0.067365114,6.22085E-90
450,0.000126287,0.534849444,0.07120599,2.63821E-81
455,6.91486E-05,0.538950401,0.076929048,1.73411E-73
460,3.83394E-05,0.534212525,0.084638676,2.11159E-66
465,2.15203E-05,0.520076875,0.094404699,5.58707E-60
470,1.22257E-05,0.496510135,0.106256141,3.70579E-54
475,7.02741E-06,0.464145074,0.120174797,7.0073E-49
480,4.08576E-06,0.424319858,0.136089343,4.24267E-44
485,2.40198E-06,0.378973017,0.153870871,9.13823E-40
490,1.42741E-06,0.330405635,0.173330722,7.70421E-36
495,8.57193E-07,0.280980945,0.194221275,2.77312E-32
500,5.20025E-07,0.232855573,0.216239938,4.61191E-29
505,3.18609E-07,0.187809657,0.239036034,3.8075E-26
510,1.97087E-07,0.147184257,0.262219743,1.66559E-23
515,1.23056E-07,0.111883428,0.285371807,4.09619E-21
520,7.75319E-08,0.082386703,0.308052574,5.97605E-19
525,4.92805E-08,0.058750101,0.329809146,5.4305E-17
530,3.15924E-08,0.040621327,0.35017992,3.21252E-15
535,2.04219E-08,0.027311374,0.368696666,1.28769E-13
540,1.33082E-08,0.017931249,0.384885288,3.62634E-12
545,8.74085E-09,0.01155349,0.39826743,7.41365E-11
550,5.78505E-09,0.007342659,0.408365992,1.13329E-09
555,3.85735E-09,0.004624436,0.414717998,1.33036E-08
560,2.59068E-09,0.002897749,0.416897936,1.22838E-07
565,1.75226E-09,0.001812409,0.41455308,9.1158E-07
570,1.19334E-09,0.001134291,0.407449319,5.54319E-06
575,8.18141E-10,0.000711661,0.395521695,2.8104E-05
580,5.64572E-10,0.000448217,0.378919446,0.000120666
585,3.92071E-10,0.000283652,0.358032563,0.000444934
590,2.73965E-10,0.00018049,0.33348812,0.00142688
595,1.92593E-10,0.000115526,0.306110754,0.004025659
600,1.36187E-10,7.44022E-05,0.276851483,0.010096684
605,9.68546E-11,4.82216E-05,0.246698721,0.022728263
610,6.92677E-11,3.14542E-05,0.216590587,0.046324636
615,4.98091E-11,2.06492E-05,0.18734601,0.086180832
620,3.60078E-11,1.36428E-05,0.159624856,0.147416255
625,2.61661E-11,9.07099E-06,0.13391777,0.233390395
630,1.9111E-11,6.06903E-06,0.11055848,0.344006093
635,1.40273E-11,4.08562E-06,0.089747351,0.474472252
640,1.03458E-11,2.76709E-06,0.071575295,0.615061468
645,7.66666E-12,1.88525E-06,0.056041113,0.752160124
650,5.70754E-12,1.29194E-06,0.043061153,0.870535473
655,4.26824E-12,8.90427E-07,0.032475477,0.956333728
660,3.20598E-12,6.17137E-07,0.024057051,1
665,2.41847E-12,4.30074E-07,0.017528485,0.998226347
670,1.8321E-12,3.01324E-07,0.012586009,0.954301932
675,1.39362E-12,2.12228E-07,0.00892591,0.876811616
680,1.06435E-12,1.50246E-07,0.006267327,0.777244617
685,8.16085E-13,1.06902E-07,0.004367258,0.667402163
690,6.28142E-13,7.6438E-08,0.003026846,0.557383996
695,4.85306E-13,5.49191E-08,0.002090628,0.454526
700,3.76334E-13,3.96447E-08,0.00144143,0.363234298
705,2.92886E-13,2.8751E-08,0.000993441,0.285414238
710,2.28748E-13,2.09451E-08,0.000685186,0.221154442
715,1.79274E-13,1.53263E-08,0.000473346,0.169414452
720,1.40976E-13,1.12635E-08,0.000327757,0.128583729
725,1.11228E-13,8.31289E-09,0.000227593,0.096873784
730,8.80431E-14,6.16082E-09,0.000158552,0.072558905
735,6.99127E-14,4.58452E-09,0.000110846,0.054101859
740,5.5689E-14,3.42518E-09,7.77841E-05,0.04020251
745,4.44948E-14,2.56905E-09,5.47964E-05,0.02980028
750,3.56573E-14,1.93431E-09,3.87565E-05,0.022052461
755,2.8659E-14,1.46188E-09,2.75228E-05,0.016302482
760,2.31006E-14,1.10891E-09,1.9625E-05,0.01204638
