wl,"UVS(355,A1)","SWS(445,A1)","MWS(530,A1)","LWS(570,A1, filter580)","LWS(570,A1, filter600)","LWS(570,A1, filter620)","LWS(570,A1, filter640)","LWS(570,A1, filter660)"
300,0.432761083,0.098919018,0.052330533,1.79793E-36,1.0873E-150,0,0,0
305,0.484516207,0.112629695,0.05992196,4.09116E-33,2.0033E-136,0,0,0
310,0.531594948,0.12549577,0.067755063,4.47277E-30,1.6245E-123,0,0,0
315,0.575434168,0.13692666,0.075653672,2.51678E-27,7.7977E-112,7.1087E-284,0,0
320,0.618017741,0.146427405,0.083418264,7.75696E-25,2.8967E-101,6.9386E-257,0,0
325,0.660943492,0.153667831,0.090834187,1.38543E-22,1.06134E-91,1.8292E-232,0,0
330,0.704649794,0.158539829,0.097681877,1.5089E-20,4.77709E-83,2.2843E-210,0,0
335,0.748009225,0.161194016,0.103748516,1.04944E-18,3.22162E-75,2.2469E-190,0,0
340,0.788318207,0.162049602,0.108840373,4.85968E-17,3.89614E-68,2.7574E-172,0,0
345,0.821575381,0.16177496,0.112794967,1.55602E-15,9.94187E-62,6.4017E-156,0,0
350,0.84290669,0.161240334,0.115492153,3.56482E-14,6.20128E-56,4.0978E-141,1.2584E-294,0
355,0.84705194,0.161447669,0.116863294,6.02721E-13,1.08021E-50,1.0169E-127,1.4412E-266,0
360,0.828919077,0.163445066,0.116897809,7.73438E-12,5.92763E-46,1.3318E-115,3.5041E-241,0
365,0.784287621,0.168234637,0.115646635,7.72672E-11,1.14281E-41,1.2168E-104,3.2462E-218,0
370,0.710814981,0.176682657,0.113222361,6.1492E-10,8.544E-38,9.98459E-95,1.9452E-197,0
375,0.60959463,0.189440212,0.109796136,3.98076E-09,2.70874E-34,9.24764E-86,1.2172E-178,0
380,0.487321906,0.206881419,0.10559168,2.13636E-08,3.94866E-31,1.18902E-77,1.2268E-161,0
385,0.357748095,0.229064823,0.100876959,9.67035E-08,2.8482E-28,2.55953E-70,2.9487E-146,8.2836E-300
390,0.239039738,0.255721587,0.095954255,3.75078E-07,1.08648E-25,1.09301E-63,2.4105E-132,3.276E-271
395,0.145854886,0.286271328,0.091149379,1.26473E-06,2.32825E-23,1.07977E-57,9.2439E-120,2.4339E-245
400,0.08256207,0.319862652,0.086800743,3.75734E-06,2.96112E-21,2.83666E-52,2.225E-108,6.1739E-222
405,0.044324653,0.35543128,0.083248889,9.95844E-06,2.34989E-19,2.24895E-47,4.37683E-98,9.1841E-201
410,0.023053202,0.391765181,0.080826819,2.38261E-05,1.21816E-17,6.03629E-43,8.93779E-89,1.3077E-181
415,0.011808943,0.427564895,0.079851269,5.20461E-05,4.30243E-16,6.0902E-39,2.35427E-80,2.7787E-164
420,0.006025706,0.461489225,0.080614796,0.000104954,1.07642E-14,2.54123E-35,9.74367E-73,1.3177E-148
425,0.00308499,0.492181916,0.083378368,0.000197537,1.97792E-13,4.78577E-32,7.58179E-66,2.0093E-134
430,0.001591639,0.518282855,0.088364061,0.000350805,2.76081E-12,4.40675E-29,1.30604E-59,1.3723E-121
435,0.000829626,0.538436147,0.095747462,0.000594176,3.02055E-11,2.13488E-26,5.77908E-54,5.6714E-110
440,0.000437496,0.551314966,0.105649629,0.000969677,2.66623E-10,5.81745E-24,7.51833E-49,1.8627E-99
445,0.000233574,0.555686089,0.118128717,0.001538667,1.94873E-09,9.47077E-22,3.24897E-44,6.22085E-90
450,0.000126287,0.550531355,0.133171824,0.002391239,1.20626E-08,9.71882E-20,5.20324E-40,2.63821E-81
455,6.91486E-05,0.535224737,0.150688014,0.003657623,6.44331E-08,6.58821E-18,3.40415E-36,1.73411E-73
460,3.83394E-05,0.50973265,0.170503698,0.005519959,3.01479E-07,3.07178E-16,9.91637E-33,2.11159E-66
465,2.15203E-05,0.474772393,0.192361566,0.008222075,1.25012E-06,1.01986E-14,1.38784E-29,5.58707E-60
470,1.22257E-05,0.431851529,0.215923914,0.01207456,4.63632E-06,2.48453E-13,9.98292E-27,3.70579E-54
475,7.02741E-06,0.383140392,0.2407805,0.01745259,1.54956E-05,4.56002E-12,3.91998E-24,7.0073E-49
480,4.08576E-06,0.331197099,0.266460211,0.024784733,4.69824E-05,6.45641E-11,8.87191E-22,4.24267E-44
485,2.40198E-06,0.2786319,0.292444949,0.034532053,0.000130026,7.20593E-10,1.21584E-19,9.13823E-40
490,1.42741E-06,0.227818349,0.318183634,0.047158307,0.000330413,6.46685E-09,1.05534E-17,7.70421E-36
495,8.57193E-07,0.18071692,0.343104161,0.063093437,0.000775373,4.75306E-08,6.0451E-16,2.77312E-32
500,5.20025E-07,0.138803683,0.366621756,0.082693809,0.001689682,2.91012E-07,2.37253E-14,4.61191E-29
505,3.18609E-07,0.103046453,0.388143308,0.106203417,0.003437664,1.50771E-06,6.60245E-13,3.8075E-26
510,1.97087E-07,0.073880321,0.407068836,0.133720317,0.006562999,6.70619E-06,1.34422E-11,1.66559E-23
515,1.23056E-07,0.051192407,0.422792933,0.165171883,0.011814562,2.5951E-05,2.06013E-10,4.09619E-21
520,7.75319E-08,0.034371857,0.434710613,0.200301099,0.020145359,8.84395E-05,2.4392E-09,5.97605E-19
525,4.92805E-08,0.022459266,0.44223288,0.23866434,0.032674156,0.000268406,2.28446E-08,5.4305E-17
530,3.15924E-08,0.014358851,0.444817107,0.279639339,0.050605254,0.000732831,1.72908E-07,3.21252E-15
535,2.04219E-08,0.009033123,0.442015007,0.322440741,0.075109678,0.001816743,1.07841E-06,1.28769E-13
540,1.33082E-08,0.005621586,0.433536303,0.366140141,0.107178464,0.004123762,5.64073E-06,3.62634E-12
545,8.74085E-09,0.003476717,0.419319239,0.409687915,0.147464016,0.00863529,2.51402E-05,7.41365E-11
550,5.78505E-09,0.00214474,0.39959183,0.451935561,0.19612779,0.016794872,9.68498E-05,1.13329E-09
555,3.85735E-09,0.001323463,0.374903676,0.491659249,0.25271238,0.030521402,0.000326671,1.33036E-08
560,2.59068E-09,0.000818653,0.346111059,0.527587538,0.316054588,0.052103734,0.000975886,1.22838E-07
565,1.75226E-09,0.000508396,0.314309458,0.558438084,0.38425458,0.083945105,0.002608695,9.1158E-07
570,1.19334E-09,0.00031731,0.280724091,0.582968819,0.454714975,0.128159167,0.006297228,5.54319E-06
575,8.18141E-10,0.000199188,0.246583444,0.600047698,0.524261562,0.186064834,0.013838884,2.8104E-05
580,5.64572E-10,0.00012582,0.213005599,0.608740961,0.589351755,0.257673881,0.027887619,0.000120666
585,3.92071E-10,7.99964E-05,0.180920496,0.608412957,0.64636524,0.341297856,0.051865251,0.000444934
590,2.73965E-10,5.12038E-05,0.151036854,0.59882236,0.691952704,0.433403314,0.089538515,0.00142688
595,1.92593E-10,3.29971E-05,0.123847594,0.580193108,0.723396671,0.528804681,0.144243217,0.004025659
600,1.36187E-10,2.1409E-05,0.099657982,0.553237522,0.738921511,0.621204183,0.217887581,0.010096684
605,9.68546E-11,1.39846E-05,0.07861872,0.5191166,0.737888296,0.703989121,0.310006277,0.022728263
610,6.92677E-11,9.19608E-06,0.060751308,0.479337607,0.720830459,0.771115721,0.417184203,0.046324636
615,4.98091E-11,6.08721E-06,0.045962263,0.435606629,0.689324613,0.817882053,0.533083012,0.086180832
620,3.60078E-11,4.05554E-06,0.034052018,0.389666351,0.645733342,0.841434107,0.649115355,0.147416255
625,2.61661E-11,2.71923E-06,0.024728626,0.343151546,0.592885824,0.840939702,0.755611503,0.233390395
630,1.9111E-11,1.83465E-06,0.017633148,0.297486125,0.53376712,0.81746272,0.843200376,0.344006093
635,1.40273E-11,1.24544E-06,0.012375447,0.253830732,0.471268743,0.77363495,0.904117838,0.474472252
640,1.03458E-11,8.50535E-07,0.008572098,0.213075002,0.408022502,0.713236552,0.933229312,0.615061468
645,7.66666E-12,5.84267E-07,0.005876974,0.17585872,0.346309925,0.640767119,0.928648987,0.752160124
650,5.70754E-12,4.03668E-07,0.003999075,0.142603339,0.28802088,0.561042666,0.891905742,0.870535473
655,4.26824E-12,2.80464E-07,0.002707635,0.113539224,0.234632031,0.478817752,0.827641329,0.956333728
660,3.20598E-12,1.95937E-07,0.001828027,0.088722557,0.187187109,0.398424992,0.742862273,1
665,2.41847E-12,1.37623E-07,0.001232866,0.068045432,0.146279969,0.323446817,0.645839404,0.998226347
670,1.8321E-12,9.71742E-08,0.0008318,0.051248876,0.11205706,0.256466084,0.544853183,0.954301932
675,1.39362E-12,6.89675E-08,0.000562066,0.037948058,0.084258199,0.198953117,0.447059847,0.876811616
680,1.06435E-12,4.91955E-08,0.000380717,0.027672213,0.062301676,0.151320201,0.357732603,0.777244617
685,8.16085E-13,3.5265E-08,0.000258674,0.019913435,0.04540055,0.113122851,0.280001677,0.667402163
690,6.28142E-13,2.54014E-08,0.000176382,0.014173826,0.032684481,0.083342653,0.215044291,0.557383996
695,4.85306E-13,1.83831E-08,0.000120744,0.01000166,0.023302157,0.060674086,0.162553541,0.454526
700,3.76334E-13,1.33655E-08,8.30025E-05,0.007012276,0.01649025,0.043757404,0.121289466,0.363234298
705,2.92886E-13,9.7614E-09,5.73074E-05,0.004894584,0.011607624,0.031333063,0.08956666,0.285414238
710,2.28748E-13,7.1608E-09,3.9744E-05,0.003407204,0.008142107,0.022321533,0.065609546,0.221154442
715,1.79274E-13,5.27585E-09,2.76886E-05,0.002368885,0.00570005,0.015847227,0.047768802,0.169414452
720,1.40976E-13,3.90359E-09,1.93781E-05,0.00164694,0.003987708,0.011228095,0.034626085,0.128583729
725,1.11228E-13,2.90029E-09,1.36239E-05,0.001146099,0.002790748,0.007948539,0.025023504,0.096873784
730,8.80431E-14,2.16364E-09,9.62203E-06,0.000798935,0.001955372,0.005627375,0.018049999,0.072558905
