wl,beetle_Stigmodera gratiosa_blue_Splice17_001,beetle_Stigmodera gratiosa_blue_Splice17_002,beetle_Stigmodera gratiosa_blue_Splice17_003,beetle_Cyria imperialis_yellow_Splice17_001,beetle_Cyria imperialis_yellow_Splice17_002,beetle_Cyria imperialis_yellow_Splice17_003,beetle_Castiarina_erythroptera_red_Splice17_001.txt,beetle_Castiarina_erythroptera_red_Splice17_002.txt,beetle_Castiarina_erythroptera_red_Splice17_003.txt,beetle_Temognatha obscuripennis_dark purple_Splice17_001,beetle_Temognatha obscuripennis_dark purple_Splice17_002,beetle_Temognatha obscuripennis_dark purple_Splice17_003,beetle_Melobasis cuprifera_pink_Splice17_001,beetle_Melobasis cuprifera_pink_Splice17_002,beetle_Melobasis cuprifera_pink_Splice17_003,beetle_Merimna atrata_black_Splice17_001,beetle_Merimna atrata_black_Splice17_002,beetle_Merimna atrata_black_Splice17_003,beetle_Melobasis_propinqua_green_green_Splice17_001,beetle_Melobasis_propinqua_green_green_Splice17_002,beetle_Melobasis_propinqua_green_green_Splice17_003,beetle_Pseudotaenia gigas_green_Splice17_001,beetle_Pseudotaenia gigas_green_Splice17_002,beetle_Pseudotaenia gigas_green_Splice17_003
300,7.133502408,6.594507697,6.707793208,11.82024485,11.23524601,12.55407428,5.604353895,6.535638706,4.827124862,3.939739608,4.095436817,5.28209259,4.338845422,4.356077741,4.964317544,13.59084413,15.3588554,9.917071327,1.670741082,1.189457224,-3.196400734,9.345601312,11.64001905,11.8680072
305,6.690293835,6.194218156,6.323073766,11.39821224,10.75756714,11.74104702,5.502149686,6.443778085,4.739945185,2.793453624,2.983324233,4.479520118,4.202836924,4.261068699,4.777937376,13.2806853,15.09057501,9.74157513,2.158100449,1.441200927,-2.798980028,8.568833893,11.05208989,10.82611574
310,6.290099493,5.635708887,6.019173796,11.29641549,10.49853139,11.67370716,5.473301723,6.339851027,4.691094504,2.133792532,2.227396723,3.823279151,4.173073168,4.27967394,4.875325497,13.1521964,14.81950696,9.783430987,2.505579602,1.608807554,-2.142834923,7.801059419,10.40698453,9.818430422
315,5.97660811,5.283154253,5.698415093,11.00898872,10.33370142,11.45041038,5.432914576,6.257332164,4.633225236,1.435983779,1.528730905,3.307180491,4.338588535,4.345324295,4.947742304,12.89381508,14.52342118,9.563409563,2.737147257,1.814851101,-1.516232229,7.22177794,9.823256664,9.121024357
320,5.551208044,4.907281821,5.282818608,10.52994056,9.807584761,10.92340565,5.366152149,6.145231067,4.538905845,0.952578382,0.924998224,2.907334148,4.52097609,4.566326014,5.084876628,12.54453004,14.13876079,9.312515643,3.069857652,2.00535747,-0.836673092,6.566633439,9.191210135,8.285437343
325,5.467327364,4.702321188,5.226002944,10.28011235,9.554734373,10.63368446,5.297741267,6.056484366,4.473896862,0.408226519,0.492572197,2.53661035,4.633127361,4.669459709,5.173419122,12.14751708,13.62232883,9.238905517,3.050003673,1.941318828,-0.97176983,6.041485986,8.49644787,7.566489048
330,5.283219008,4.533813275,5.144354132,10.25034561,9.600451344,10.48914851,5.162155844,5.996930658,4.439701386,0.21856613,0.514794799,2.431384531,4.697053718,4.734974318,5.328240397,11.92477102,13.38648686,9.070642491,3.272549784,1.950820921,-0.982435362,5.719438848,8.210036617,7.204104772
335,5.075963415,4.347392701,4.959239011,9.709304935,8.88173916,10.08485129,5.025334079,5.889500441,4.422791534,0.361657497,0.422180358,2.342562779,4.708201466,4.796164042,5.301407451,11.56220419,13.04137503,9.01510297,3.194348792,2.053710632,-0.787088104,5.714476356,7.894528013,7.08512769
340,4.935354438,4.266144103,4.738249594,9.735029639,8.741018213,10.16668098,4.963517017,5.799975259,4.369055786,0.742049451,0.690854196,2.463982539,4.784869025,4.814918231,5.37805281,11.31590008,12.61170067,8.768517376,3.361940594,2.171923394,-0.674826573,5.500324417,7.538063521,6.711321179
345,4.764632535,4.046169597,4.696363711,9.472688253,8.657806914,9.777068704,4.939202306,5.773506945,4.33072679,1.071337347,0.933707227,2.677756845,4.742232838,4.794758546,5.254614207,11.03527281,12.2893752,8.664567712,3.914376837,2.33146651,0.066885276,5.361970938,7.268519419,6.612233401
