wl,flower_Chorizema cordatum_orange_1,flower_Chorizema cordatum_orange_2,flower_Chorizema cordatum_orange_3,flower_Olearia homolepis_1,flower_Olearia homolepis_2,flower_Olearia homolepis_3,flower_Chamelaucium uncinatum_1,flower_Chamelaucium uncinatum_2,flower_Chamelaucium uncinatum_3,flower_Senna artemisioides_1,flower_Senna artemisioides_2,flower_Senna artemisioides_3,flower_Eremophila maculata_1,flower_Eremophila maculata_2,flower_Eremophila maculata_3,flower_Leptospermum liversidgei_1,flower_Leptospermum liversidgei_2,flower_Leptospermum liversidgei_3,leaves_Gastrolobium bilobus_1,leaves_Gastrolobium bilobus_2,leaves_Gastrolobium bilobus_3
300,22.16262826,22.61355284,22.63748103,15.69237538,19.00209961,14.98275633,3.910054029,5.33567322,10.26237451,9.657423293,8.09289906,7.706063274,7.694700484,11.85305242,10.73980463,9.222990205,10.89382186,12.56269436,6.981922796,6.838048673,7.011516412
305,29.03766859,29.69967837,29.7936257,15.50097353,18.768389,14.61833821,3.555153261,4.882206531,10.03548699,11.35635011,9.630076103,9.399328141,7.474299187,11.23569242,10.3855797,8.892106103,10.46963097,12.19490922,6.925238841,6.952219144,6.919731566
310,36.58947992,36.74317107,37.58101532,15.19179117,18.52192931,14.38089953,3.341772536,4.715136179,9.689567093,12.78495228,11.00298068,10.84829919,7.177755244,10.80107043,10.0372603,8.723171382,10.32613,12.2488017,7.083374355,6.907834155,7.082411715
315,42.71515333,42.60806828,43.10143187,15.08967025,18.24639666,14.25077284,3.325026221,4.484756411,9.565501861,13.96752073,12.26965853,11.82331872,7.032284654,10.16195775,9.725132383,8.486657338,10.19354164,12.18632187,7.063626365,6.994602043,6.87318639
320,46.41697624,46.21962442,47.64554891,14.38475161,17.84964046,13.83746096,2.887563427,4.013193708,8.965145503,14.61094237,12.90517592,12.57380368,6.705932246,9.555295736,8.804451948,8.075585575,9.774176595,11.70496328,6.787256014,7.135388509,6.815178676
325,48.36105591,48.64816278,50.0197714,14.80316066,18.02705506,13.96037877,2.954983582,4.139896956,9.277032228,15.13710781,13.45842992,13.03238041,6.910917682,9.497187781,8.89987516,8.313068896,9.907999066,11.84818542,6.845841244,6.895791798,6.879083852
330,49.39527347,49.39159158,50.52544866,14.43364139,17.89899009,13.77666892,2.89260948,4.067616028,8.77349838,15.80543853,13.78127036,13.41931093,6.963585558,8.995307311,8.670621703,8.301984839,9.998562859,11.79882282,6.996550788,7.12141975,6.889509389
335,48.09774548,48.32758018,49.49237751,14.4824041,17.8531662,13.75884604,2.932931634,4.08329442,8.847977536,16.00316497,14.47864914,13.73322228,6.742836719,8.856361626,8.358340157,8.367155359,9.883213902,11.76587414,6.745818759,6.891649942,6.742333717
340,47.26603382,47.39521772,48.25401117,14.63426755,17.81318302,14.08074795,2.926481125,3.982895272,8.910899399,16.78369729,14.89757206,14.25240105,6.986238537,8.710364218,8.267394567,8.242412834,9.853780427,11.77436702,6.699379827,6.920468945,6.911850096
345,45.29117252,45.74086186,46.72597842,14.61054528,17.97129084,13.95898898,3.112536235,4.244566436,8.98650696,18.34640291,15.99709479,15.7074841,6.979965266,8.81369379,8.495479611,8.506926325,10.01624043,11.93832597,6.843451047,7.122034469,7.094051608
350,44.11882754,44.45898916,45.3615268,14.68191144,17.89601667,14.13834956,3.228760641,4.184279577,9.097403662,19.69626789,17.73500595,17.13299601,7.004325278,8.582773955,8.45432873,8.499221451,10.12719106,11.92388383,6.885049807,7.024253303,6.97208098
355,42.63547956,42.65073644,43.17343386,14.65164306,18.01600495,14.10422772,3.291137095,4.411109582,9.464539703,21.73299022,19.46650822,18.85952046,7.245463374,8.742355826,8.340193686,8.666492573,10.33772864,12.07598039,6.857426801,7.247189704,6.952699576
360,39.96721747,40.26639688,41.22127514,14.89160877,18.21324237,14.52633437,3.528685621,4.606421375,9.616864313,23.20191676,20.82015217,20.39090294,7.6519779,8.93311619,8.401737987,8.880207672,10.58137931,12.32376792,6.954051149,7.146313071,6.941256107
