wl,sun
300,0.0010
300.5,0.0012
301,0.0019
301.5,0.0027
302,0.0029
302.5,0.0043
303,0.0071
303.5,0.0090
304,0.0095
304.5,0.0120
305,0.0165
305.5,0.0187
306,0.0186
306.5,0.0211
307,0.0278
307.5,0.0356
308,0.0378
308.5,0.0414
309,0.0405
309.5,0.0433
310,0.0509
310.5,0.0655
311,0.0829
311.5,0.0841
312,0.0934
312.5,0.0990
313,0.1073
313.5,0.1076
314,0.1197
314.5,0.1306
315,0.1363
315.5,0.1184
316,0.1235
316.5,0.1504
317,0.1716
317.5,0.1825
318,0.1759
318.5,0.1859
319,0.2047
319.5,0.1959
320,0.2053
320.5,0.2453
321,0.2502
321.5,0.2384
322,0.2220
322.5,0.2171
323,0.2123
323.5,0.2486
324,0.2754
324.5,0.2832
325,0.2789
325.5,0.3244
326,0.3812
326.5,0.4072
327,0.3981
327.5,0.3847
328,0.3512
328.5,0.3716
329,0.4224
329.5,0.4688
330,0.4714
330.5,0.4280
331,0.4026
331.5,0.4181
332,0.4362
332.5,0.4392
333,0.4294
333.5,0.4072
334,0.4150
334.5,0.4451
335,0.4639
335.5,0.4531
336,0.4152
336.5,0.3821
337,0.3738
337.5,0.4005
338,0.4341
338.5,0.4553
339,0.4636
339.5,0.4745
340,0.5018
340.5,0.5007
341,0.4714
341.5,0.4694
342,0.4893
342.5,0.5077
343,0.5149
343.5,0.4861
344,0.4184
344.5,0.4031
345,0.4590
345.5,0.4893
346,0.4778
346.5,0.4866
347,0.4940
347.5,0.4767
348,0.4751
348.5,0.4834
349,0.4656
349.5,0.4781
350,0.5280
350.5,0.5674
351,0.5517
351.5,0.5302
352,0.5179
352.5,0.4896
353,0.5204
353.5,0.5723
354,0.6050
354.5,0.6116
355,0.6114
355.5,0.5903
356,0.5539
356.5,0.5194
357,0.4567
357.5,0.4622
358,0.4301
358.5,0.3993
359,0.4695
359.5,0.5655
360,0.5982
360.5,0.5653
361,0.5202
361.5,0.5096
362,0.5342
362.5,0.5851
363,0.6019
363.5,0.5854
364,0.6063
364.5,0.6006
365,0.6236
365.5,0.6863
366,0.7353
366.5,0.7366
367,0.7229
367.5,0.7091
368,0.6676
368.5,0.6631
369,0.6932
369.5,0.7447
370,0.7551
370.5,0.6826
371,0.6934
371.5,0.7205
372,0.6744
372.5,0.6425
373,0.6189
373.5,0.5579
374,0.5564
374.5,0.5523
375,0.5893
375.5,0.6516
376,0.6748
376.5,0.6639
377,0.7123
377.5,0.7946
378,0.8560
378.5,0.8342
379,0.7439
379.5,0.6668
380,0.7008
380.5,0.7508
381,0.7638
381.5,0.6884
382,0.5868
382.5,0.5076
383,0.4550
383.5,0.4405
384,0.5097
384.5,0.6136
385,0.6736
385.5,0.6436
386,0.6210
386.5,0.6457
387,0.6515
387.5,0.6420
388,0.6358
388.5,0.6314
389,0.6854
389.5,0.7597
390,0.7970
390.5,0.8037
391,0.8514
391.5,0.8634
392,0.7949
392.5,0.6626
393,0.4798
393.5,0.3815
394,0.4957
394.5,0.6839
395,0.8077
395.5,0.8604
396,0.7566
396.5,0.5502
397,0.4262
